player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2
Anthony Edwards,MIN,MEM,0,7.347158042374053,0.3690650349759616,2.7115791398826974,0.0,2.7115791398826974,0.753433047462413
Donte DiVincenzo,MIN,MEM,0,7.386475006494012,0.3653835792266646,2.6988966757410826,0.0,2.6988966757410826,0.7511393297372666
Naz Reid,MIN,MEM,0,6.665789988404764,0.3318801915678124,2.212243658302579,1.2652238408580883,0.9470198174444908,0.1830604852140636
Jaren Jackson Jr.,MEM,MIN,1,6.0261556935810425,0.3236293526552495,1.9502408661133788,1.222523360705473,0.7277175054079057,0.13401118693140113
Vince Williams Jr.,MEM,MIN,1,5.531702536735681,0.32689122497354595,1.8082650184227982,1.2237224761113419,0.5845425423114563,0.11003999071193682
Jaylen Wells,MEM,MIN,1,5.326394105816547,0.3280769673532207,1.7474672251643626,1.222079589216945,0.5253876359474177,0.1004175685251888
Cedric Coward,MEM,MIN,1,5.12112305631138,0.33350330309140097,1.707911454817376,1.2380952380952381,0.4698162167221378,0.09437646178370551
Cam Spencer,MEM,MIN,1,5.0778032308848395,0.33165748297168524,1.684091438580757,1.240740740740741,0.44335069784001613,0.0908242344680179
Ja Morant,MEM,MIN,1,4.163482097970748,0.31692874953768163,1.3195271750323925,1.2578995044492993,0.06162767058309315,0.045068980417852456
Santi Aldama,MEM,MIN,1,4.004010080798929,0.32614366053152416,1.3058825045568867,1.2826735218508998,0.023208982705986925,0.04368473755424085
Kentavious Caldwell-Pope,MEM,MIN,1,3.996295321641544,0.3243724232956253,1.2962879976858381,1.238834487700024,0.05745350998581422,0.042725923453498904
GG Jackson II,MEM,MIN,1,3.7761432286953824,0.3278868191033562,1.2381475917356064,1.2626582278481013,-0.024510636112494932,0.037172829718878475
Jock Landale,MEM,MIN,1,3.68732551737069,0.32051697953820246,1.1818504374017933,1.2575230606381371,-0.07567262323634383,0.032216018862532114
John Konchar,MEM,MIN,1,2.1917479610781676,0.3304630811676417,0.7242917843607878,1.2394239423942395,-0.5151321580334517,0.006470890172775023
Rudy Gobert,MIN,MEM,0,1.1570963456925294,0.3291833337547404,0.3808968325504944,1.2327044025157232,-0.8518075699652288,0.0006479472788589735
