player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2
Anfernee Simons,BOS,HOU,0,8.02127780462023,0.3335221561965325,2.6752738688483277,1.240740740740741,1.4345331281075868,0.28046422213491384
Kevin Durant,HOU,BOS,1,6.854950270059835,0.32131635553502913,2.2026076381494897,1.238834487700024,0.9637731504494658,0.18116058362421394
Payton Pritchard,BOS,HOU,0,5.603120780366335,0.3620365158821692,2.0285343253908086,,,
Reed Sheppard,HOU,BOS,1,5.913749531758519,0.3241923351303411,1.9171922700767556,1.222523360705473,0.6946689093712826,0.12825191033044847
Jabari Smith Jr.,HOU,BOS,1,5.797022170070129,0.32716917528259964,1.89660696247679,1.2380952380952381,0.6585117243815519,0.12471820918646848
Tari Eason,HOU,BOS,1,5.579246848044237,0.3322881511335164,1.8539176198541185,1.2237224761113419,0.6301951437427766,0.11752501235186386
Derrick White,BOS,HOU,0,4.756034574191484,0.36649245567441724,1.7430507903678685,,,
Josh Okogie,HOU,BOS,1,3.6477853914238425,0.3261776119633488,1.1898259279294185,1.2327044025157232,-0.04287847458630467,0.03289316078541482
Alperen Şengün,HOU,BOS,1,2.261277804620229,0.33075046183354273,0.7479186782120804,1.2394239423942395,-0.4915052641821591,0.0072232546276810305
Amen Thompson,HOU,BOS,1,1.664246848044237,0.32849474268146833,0.5466963401067364,1.222079589216945,-0.6753832491102085,0.002413332520030731
Neemias Queta,BOS,HOU,0,1.360130903038655,0.33093037792179536,0.45010863376569493,1.2652238408580883,-0.8151152070923933,0.0011964045747558938
