player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2
Naz Reid,MIN,TOR,0,7.607785391423843,0.3261776119633488,2.48148927130428,1.2327044025157232,1.248784868788557,0.23847438171089752
Anthony Edwards,MIN,TOR,0,6.623120780366336,0.3620365158821692,2.397811571590622,,,
Immanuel Quickley,TOR,MIN,1,6.127450270059835,0.32131635553502913,1.968849989497756,1.238834487700024,0.7300155017977321,0.1372998378578153
RJ Barrett,TOR,MIN,1,5.414522170070129,0.32716917528259964,1.771464752931196,1.2380952380952381,0.5333695148359578,0.10416752815846342
Brandon Ingram,TOR,MIN,1,5.216277804620229,0.33075046183354273,1.725286292930199,1.2394239423942395,0.4858623505359596,0.09700832951714344
Sandro Mamukelashvili,TOR,MIN,1,5.024246848044237,0.32849474268146833,1.65043867551647,1.222079589216945,0.428359086299525,0.0859175245226429
Julius Randle,MIN,TOR,0,4.343534574191485,0.36649245567441724,1.5918726524021714,,,
Jamal Shead,TOR,MIN,1,3.7312778046202286,0.3335221561965325,1.2444638187652028,1.240740740740741,0.0037230780244619233,0.03775473267216678
Scottie Barnes,TOR,MIN,1,3.303749531758519,0.3241923351303411,1.0710502753865654,1.222523360705473,-0.15147308531890769,0.023657403277893785
Collin Murray-Boyles,TOR,MIN,1,1.7092468480442369,0.3322881511335164,0.5679624749674099,1.2237224761113419,-0.655760001143932,0.002764817083883875
Rudy Gobert,MIN,TOR,0,1.360130903038655,0.33093037792179536,0.45010863376569493,1.2652238408580883,-0.8151152070923933,0.0011964045747558938
