player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2
Julian Champagnie,SAS,OKC,1,6.643162088092296,0.3318474894534482,2.2045166609657554,1.2826735218508998,0.9218431391148556,0.18153645639566318
Devin Vassell,SAS,OKC,1,6.401666080440649,0.3264385555129933,2.089750628175571,1.2575230606381371,0.832227567537434,0.15942417359660432
Victor Wembanyama,SAS,OKC,1,6.296277804620229,0.32898273709101505,2.0713667056493703,1.2394239423942395,0.8319427632551308,0.1559787022900515
Luguentz Dort,OKC,SAS,0,6.097022170070129,0.32811354469974463,2.0005155563346393,1.2380952380952381,0.7624203182394012,0.1429695821067869
Aaron Wiggins,OKC,SAS,0,5.665285391423843,0.31909140734415287,1.8077438885557038,1.2327044025157232,0.5750394860399806,0.10995581499155926
De'Aaron Fox,SAS,OKC,1,5.245376938465413,0.3324946219420137,1.7440596220984148,1.240740740740741,0.5033188813576739,0.09989024347779352
Keldon Johnson,SAS,OKC,1,4.240554140077588,0.32654018043403976,1.38471131404125,1.2361111111111112,0.14860020293013876,0.05201611612518542
Harrison Barnes,SAS,OKC,1,4.130662088092297,0.3323984132336829,1.3730255236864108,1.2626582278481013,0.11036729583830951,0.05073011933175453
Ajay Mitchell,OKC,SAS,0,4.224349380214672,0.3237340137993041,1.3675655805474984,1.2008506616257089,0.16671491892178958,0.05013532377181806
Chet Holmgren,OKC,SAS,0,4.2067468480442365,0.3232824815993445,1.3599675604959613,1.2237224761113419,0.13624508438461946,0.04931404077971313
Alex Caruso,OKC,SAS,0,3.959246848044237,0.3264104705933008,1.2923396268651623,1.222079589216945,0.07026003764821742,0.04233483762513113
Stephon Castle,SAS,OKC,1,3.8724584005124743,0.3292880877497079,1.2751544215950452,1.2062281355737798,0.06892628602126538,0.04065635288249125
Dylan Harper,SAS,OKC,1,3.3709478620786184,0.3281678382171384,1.1062366726410247,1.238834487700024,-0.13259781505899926,0.026204826292931305
Shai Gilgeous-Alexander,OKC,SAS,0,3.1751309030386548,0.3297894249238633,1.0471245945711047,1.2652238408580883,-0.21809924628698352,0.02201469760539143
Kenrich Williams,OKC,SAS,0,2.7907834721633296,0.3698165547304459,1.0320779286741137,,,
Jaylin Williams,OKC,SAS,0,2.3724527999531877,0.3664375140556475,0.8693557062292065,,,
Isaiah Hartenstein,OKC,SAS,0,1.3492468480442368,0.32800695651323947,0.4425623522120714,1.222523360705473,-0.7799610084934017,0.0011248325674781956
Luke Kornet,SAS,OKC,1,1.1744416107076259,0.32240511977495007,0.3786459881688774,1.2578995044492993,-0.8792535162804219,0.000633892278823045
