player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2
Coby White,CHI,TOR,0,7.461451394020635,0.3281556265814428,2.4485172574118215,1.222079589216945,1.2264376681948765,0.23147756305143252
Matas Buzelis,CHI,TOR,0,6.715405484097369,0.3281556265814428,2.2036980943824296,1.240740740740741,0.9629573536416887,0.1813752548030665
Immanuel Quickley,TOR,CHI,1,6.671386842788435,0.32054277126848424,2.1384648267915085,1.2652238408580883,0.8732409859334203,0.16868647800190562
Patrick Williams,CHI,TOR,0,5.263359739019582,0.32445918281798525,1.7077453997993777,1.2394239423942395,0.4683214574051382,0.09435147369689068
RJ Barrett,TOR,CHI,1,5.22526330407274,0.31936916738543336,1.6687879907913696,1.2327044025157232,0.4360835882756464,0.08857657011267916
Ayo Dosunmu,CHI,TOR,0,5.073322572781957,0.32054277126848424,1.6262168770184848,1.2237224761113419,0.40249440090714295,0.08246818237825793
Josh Giddey,CHI,TOR,0,4.897447375821039,0.33191708796840275,1.6255464714610148,1.2826735218508998,0.34287294961011505,0.08237370197880467
Kevin Huerter,CHI,TOR,0,4.876175651456413,0.31739177855000705,1.5476580625379903,1.2575230606381371,0.2901350018998532,0.07176580029860502
Jalen Smith,CHI,TOR,0,4.56271871995356,0.3281556265814428,1.4972818204612393,1.2380952380952381,0.2591865823660011,0.06530175752846223
Nikola Vučević,CHI,TOR,0,4.333331102572803,0.3281556265814428,1.4220069831496327,1.2626582278481013,0.15934875530153136,0.056238296171960966
Isaac Okoro,CHI,TOR,0,3.8930000176321267,0.3281556265814428,1.2775098600676384,1.238834487700024,0.038675372367614536,0.040884128705173106
Jamal Shead,TOR,CHI,1,3.9561785801375073,0.32054277126848424,1.2681244457102938,1.222523360705473,0.04560108500482074,0.03998084791092815
Tre Jones,CHI,TOR,0,2.55021543905314,0.31392707409449927,0.8005816710925712,1.2578995044492993,-0.45731783335672815,0.009102178504010405
Scottie Barnes,TOR,CHI,1,2.0780578536460586,0.3275865695208778,0.6807438435418306,0.0,0.6807438435418306,0.14913975139901003
Collin Murray-Boyles,TOR,CHI,1,0.8029871993758473,0.3275865695208778,0.26304782201271093,0.0,0.26304782201271093,0.029088652956227534
