player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2
Stephen Curry,GSW,PHO,0,9.075076820548526,0.33191708796840275,3.0121730713660178,1.2826735218508998,1.729499549515118,0.355495365724831
Grayson Allen,PHO,GSW,1,8.818247916098649,0.3281556265814428,2.8937576702578545,1.2237224761113419,1.6700351941465126,0.3289805751034206
Collin Gillespie,PHO,GSW,1,8.50703735627103,0.31739177855000705,2.7000637166982124,1.2575230606381371,1.4425406560600753,0.28592187190643226
Royce O'Neale,PHO,GSW,1,6.254462781003056,0.3281556265814428,2.0524371528303713,1.222079589216945,0.8303575636134264,0.1524605287683013
Draymond Green,GSW,PHO,0,5.759912288888545,0.3281556265814428,1.890147626214373,1.2626582278481013,0.6274893983662717,0.12361802739607208
Dillon Brooks,PHO,GSW,1,5.665405484097369,0.3281556265814428,1.8591346864719145,1.240740740740741,0.6183939457311736,0.11839417097050853
Devin Booker,PHO,GSW,1,5.307314632664161,0.31392707409449927,1.6661097539311822,1.2578995044492993,0.4082102494818829,0.08818600683179423
Jordan Goodwin,PHO,GSW,1,4.680500017632127,0.3281556265814428,1.5359324160005248,1.238834487700024,0.29709792830050086,0.07023304943287911
Will Richard,GSW,PHO,0,4.708359739019582,0.32445918281798525,1.5276705533353958,1.2380952380952381,0.28957531524015767,0.069163303108709
Al Horford,GSW,PHO,0,4.424712517761011,0.3281556265814428,1.451994308708618,1.2394239423942395,0.21257036631437853,0.05976258533210854
Gui Santos,GSW,PHO,0,4.35149192999526,0.32054277126848424,1.3948392823931255,1.222523360705473,0.17231592168765242,0.05314495697147903
Brandin Podziemski,GSW,PHO,0,3.3486511434642887,0.3275865695208778,1.096973140609631,0.0,1.096973140609631,0.29986226377267977
Jonathan Kuminga,GSW,PHO,0,2.956310476453527,0.3281556265814428,0.9701299167698909,1.2361111111111112,-0.26598119434122025,0.017211149815691607
Jamaree Bouyea(TW),PHO,GSW,1,2.9884283955032167,0.31936916738543336,0.9544118884628489,1.2652238408580883,-0.3108119523952394,0.016319415462538567
Mark Williams,PHO,GSW,1,1.1902633040727402,0.32054277126848424,0.38153029802665867,1.2327044025157232,-0.8511741044890646,0.000651942289905838
Oso Ighodaro,PHO,GSW,1,0.21210940402246767,0.3275865695208778,0.06948419202683806,0.0,0.06948419202683806,0.002305062563032312
