player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2
A.J. Green,MIL,ORL,0,8.441253930564512,0.3228763499040141,2.725481257713582,1.2626582278481013,1.4628230298654805,0.2915333289498353
Ryan Rollins,MIL,ORL,0,6.770454003132336,0.32222921661189624,2.1816380895362095,1.238834487700024,0.9428036018361856,0.17704906978200396
Gary Trent Jr.,MIL,ORL,0,5.744106285221027,0.32356213517994825,1.8585752943466762,1.240740740740741,0.6178345536059353,0.11830084314108413
Bobby Portis,MIL,ORL,0,5.399106285221027,0.32356213517994825,1.7469463577095943,1.222523360705473,0.5244229970041212,0.10033688095658944
Myles Turner,MIL,ORL,0,5.081073486303829,0.3228045140943499,1.640193457823992,1.2380952380952381,0.4020982197287539,0.0844500672992361
Anthony Black,ORL,MIL,1,4.836720790166316,0.3267026096661208,1.5801693043737173,0.0,1.5801693043737173,0.46863934344545666
Desmond Bane,ORL,MIL,1,4.716534773509364,0.3267026096661208,1.5409042190865154,0.0,1.5409042190865154,0.45577048016246846
Pete Nance(TW),MIL,ORL,0,4.388124083556261,0.32356213517994825,1.4198307979100175,1.2394239423942395,0.18040685551577806,0.05598701773658277
Kyle Kuzma,MIL,ORL,0,4.2378958371223785,0.31451972576651765,1.3329018365187972,1.2575230606381371,0.07537877588066011,0.04644938013917499
Kevin Porter Jr.,MIL,ORL,0,4.035624083556261,0.32356213517994825,1.3057751452590856,1.222079589216945,0.08369555604214063,0.043673942299080726
Paolo Banchero,ORL,MIL,1,3.9913787404801533,0.3229668459738836,1.289083002900087,1.2327044025157232,0.05637860038436382,0.04201380076063266
Wendell Carter Jr.,ORL,MIL,1,3.712060935351514,0.32356213517994825,1.2010823621604119,1.2652238408580883,-0.06414147869767639,0.03386293275535479
Amir Coffey,MIL,ORL,0,2.7622694759218973,0.32914853688839185,0.9091969564911574,1.2826735218508998,-0.3734765653597424,0.013917919618513186
Jericho Sims,MIL,ORL,0,1.2315528817585764,0.32356213517994825,0.3984838800088233,1.2237224761113419,-0.8252385961025186,0.0007654643134248351
