player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2
Jalen Brunson,NYK,DET,1,7.590769465723319,0.332390200356223,2.523097383569674,0.0,2.523097383569674,0.7174096177409597
Duncan Robinson,DET,NYK,0,6.262697495979913,0.3350939749427708,2.0985921977920468,0.0,2.0985921977920468,0.6200229106234346
Landry Shamet,NYK,DET,1,5.890996997467983,0.3328784330040917,1.9609858493489514,0.0,1.9609858493489514,0.5833311841185572
Cade Cunningham,DET,NYK,0,4.612577552670872,0.33784043377129486,1.558315201198065,0.0,1.558315201198065,0.46149919306356435
Mikal Bridges,NYK,DET,1,4.255131633769438,0.3252775884243673,1.384098956260761,0.0,1.384098956260761,0.4026653079140339
Karl-Anthony Towns,NYK,DET,1,3.4756453146308695,0.3258556650842526,1.1325587155960084,0.0,1.1325587155960084,0.3128730273293646
Tobias Harris,DET,NYK,0,3.262577552670871,0.3169333669936113,1.0340196888457553,0.0,1.0340196888457553,0.27675388838056736
Mohamed Diawara,NYK,DET,1,3.058591105424212,0.3337150848181552,1.0206979901706958,0.0,1.0206979901706958,0.2718549446318974
Josh Hart,NYK,DET,1,2.9707022805532564,0.3252775884243673,0.9663028737451315,0.0,0.9663028737451315,0.25184702363738554
Caris LeVert,DET,NYK,0,2.2533266989307696,0.3350939749427708,0.7550762003893838,0.0,0.7550762003893838,0.17515841180103142
Isaiah Stewart,DET,NYK,0,1.162577552670871,0.3350939749427708,0.38957273330372066,0.0,0.38957273330372066,0.0587781614570938
Paul Reed,DET,NYK,0,1.1055329110387433,0.3325740650717939,0.36767157429480873,0.0,0.36767157429480873,0.05310006930815836
Ausar Thompson,DET,NYK,0,0.06236696513103654,0.3352826405128324,0.020910560749905677,0.0,0.020910560749905677,0.00021560181632962472
