player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2
Andrew Nembhard,IND,WAS,0,5.710634555366368,0.333439373572892,1.9041504088450723,0.0,1.9041504088450723,0.567429309422581
Pascal Siakam,IND,WAS,0,4.735966089759929,0.32628616841681435,1.5452802291797298,0.0,1.5452802291797298,0.4572136374181972
Bub Carrington,WAS,IND,1,4.661704583127589,0.3286972397537031,1.5322894290212257,0.0,1.5322894290212257,0.4529229475732208
Jamir Watkins(TW),WAS,IND,1,4.163796813510736,0.3315899872123996,1.380673332147055,0.0,1.380673332147055,0.40147678841815226
Jarace Walker,IND,WAS,0,4.05226301278383,0.33520443255498117,1.3583365237637421,0.0,1.3583365237637421,0.3936997878958095
Will Riley,WAS,IND,1,4.007727078389428,0.33456672111400265,1.3408521077365525,0.0,1.3408521077365525,0.3875800849481079
Kyshawn George,WAS,IND,1,3.8199514936981434,0.3340760149954125,1.2761541724904493,0.0,1.2761541724904493,0.3647056982712926
Aaron Nesmith,IND,WAS,0,3.760872238096917,0.33456672111400265,1.2582626932287662,0.0,1.2582626932287662,0.3583208684799023
Jay Huff,IND,WAS,0,3.757587123265701,0.3340760149954125,1.2553197321386813,0.0,1.2553197321386813,0.35726834916483075
Ben Sheppard,IND,WAS,0,3.2886257360290068,0.3340760149954125,1.098650980703926,0.0,1.098650980703926,0.3004767396013627
Justin Champagnie,WAS,IND,1,3.0490509338285516,0.3340760149954125,1.0186147854914838,0.0,1.0186147854914838,0.27108872271819173
Sharife Cooper(TW),WAS,IND,1,2.709017730935661,0.3298345177603782,0.8935275568874778,0.0,0.8935275568874778,0.22515016928292708
Bilal Coulibaly,WAS,IND,1,2.6564863199711874,0.3340760149954125,0.8874683636658026,0.0,0.8874683636658026,0.22293550167864418
Kam Jones,IND,WAS,0,2.560163671878925,0.3286972397537031,0.8415187322643078,0.0,0.8415187322643078,0.20620346452784521
Alex Sarr,WAS,IND,1,2.409862433516036,0.333439373572892,0.803543020228432,0.0,0.803543020228432,0.19248200992823283
Anthony Gill,WAS,IND,1,1.0454535384412718,0.333439373572892,0.348595372957421,0.0,0.348595372957421,0.048325092893878874
